2026-05-05 14:55:14, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-05 14:57:18, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:55:23, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:55:23, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:55:23, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:55:23, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:56:35, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 14:57:59, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-05-05 14:58:18, MOVE, v:1, k:ed@pintando, mode:EDIT
2026-05-05 14:58:18, MOVE, v:1, k:ed@setbuild, mode:EDIT
2026-05-05 14:58:18, MOVE, v:1, k:ed@pedra, mode:EDIT
2026-05-05 14:58:18, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-05 15:09:43, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 15:14:46, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 15:19:45, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 15:18:56, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 15:24:42, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-05 15:28:30, MOVE, v:1, k:ed@editorint, mode:EDIT
