2026-07-09 00:38:40, MOVE, v:1, k:ed@alternando, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@apagando, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@apagando, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@bufferring, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@bufferring, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@buscas, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@buscas, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@chaves, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@chaves, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@chaves, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@especiais, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@pilha, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@pilha, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@resto, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@rotacoes, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@setbuild, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@setbuild, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@subset_sum, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@subset_sum, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@vetbuild, mode:EDIT
2026-07-09 00:38:40, MOVE, v:1, k:ed@vetbuild, mode:EDIT
2026-07-09 01:39:06, MOVE, v:1, k:ed@alternando, mode:EDIT
2026-07-09 01:39:06, MOVE, v:1, k:ed@apagando, mode:EDIT
2026-07-09 01:39:06, MOVE, v:1, k:ed@apagando, mode:EDIT
2026-07-09 01:39:06, MOVE, v:1, k:ed@bufferring, mode:EDIT
2026-07-09 01:39:06, MOVE, v:1, k:ed@bufferring, mode:EDIT
